Time(BJD-2454833),Flux,Uncertainty(1 std. dev),Orientation
112.742,1.00896,0.00163,3
112.867,1.00886,0.00157,3
113.018,1.00890,0.00158,3
113.234,1.00867,0.00161,3
113.338,1.00898,0.00161,3
113.550,1.00888,0.00163,3
113.733,1.00895,0.00162,3
114.166,1.00873,0.00165,3
229.825,1.01067,0.00257,0
258.006,1.01014,0.00267,0
290.086,1.00574,0.00153,1
320.980,1.00861,0.00162,1
349.037,1.00887,0.00156,1
382.955,1.00908,0.00484,2
383.035,1.00909,0.00483,2
412.766,1.00636,0.00460,2
441.740,1.00044,0.00502,2
474.535,1.00541,0.00156,3
503.428,1.00427,0.00154,3
537.695,1.00600,0.00173,3
566.057,1.00100,0.00256,0
597.811,1.00520,0.00248,0
628.829,1.00485,0.00266,0
659.806,1.00238,0.00153,1
689.762,1.00437,0.00157,1
719.084,1.00255,0.00158,1
752.576,1.00458,0.00483,2
781.739,0.99956,0.00462,2
844.444,1.00183,0.00166,3
873.644,1.00211,0.00163,3
905.459,1.00186,0.00159,3
936.477,0.99371,0.00247,0
968.762,0.99885,0.00236,0
999.801,1.00380,0.00248,0
1031.800,0.99951,0.00153,1
1062.757,1.00132,0.00151,1
1097.862,1.00162,0.00156,1
1125.427,1.00150,0.00453,2
1153.523,0.99628,0.00474,2
1181.558,0.98754,0.00505,2
1214.517,0.98748,0.00168,3
1244.453,0.98096,0.00166,3
1272.590,0.98337,0.00166,3
1304.527,0.97677,0.00250,0
1335.832,0.97986,0.00237,0
1370.855,0.97803,0.00256,0
1403.835,0.97467,0.00168,1
1434.914,0.97825,0.00150,1
1470.673,0.97775,0.00156,1
1497.564,0.98010,0.00469,2
1524.495,0.97411,0.00456,2
1557.495,0.97780,0.00496,2
